Store ID,Store Name,Positive Feedback,Feeback Store,Date Opened,Item as Described,Communication,Shipping Speed,Time Scraped
932882,FORGIVENESS FGSS Store,6956,96.7,04 Aug 2013,4.6,4.5,4.4,2017-04-30 01:20:41.100209
1957533,Simple pleasure&simple life,5512,98.4,11 Nov 2015,4.7,4.7,4.6,2017-04-30 01:20:42.018748
1724512,BAIJOE MEN Store,5320,96.2,13 Mar 2015,4.6,4.7,4.5,2017-04-30 01:20:43.070688
1665279,ANGRYGOLDFISH 6 Store,12638,98.1,08 Jan 2015,4.7,4.7,4.5,2017-04-30 01:20:44.119416
1925543,Fashion Men Design,2580,97.8,18 Sep 2015,4.7,4.8,4.7,2017-04-30 01:20:44.980814
1382641,Family Underwear Store,7241,95.5,20 Jul 2014,4.6,4.6,4.4,2017-04-30 01:20:46.074037
133429,"Tomshop Trading Co., Ltd",5549,97.3,05 Aug 2013,4.7,4.6,4.4,2017-04-30 01:20:46.951810
1209587,PioneerCamp Official Flagship Store,38926,98.9,13 Apr 2014,4.8,4.9,4.7,2017-04-30 01:20:48.019037
1619054,"HITEE Fashion CO,. LTD.",2758,98.5,17 Dec 2014,4.7,4.7,4.4,2017-04-30 01:20:49.103086
703003,Hey ! Jerry,3500,97.5,20 Jul 2010,4.7,4.6,4.3,2017-04-30 01:20:50.059579
1726488,Trend Equipment Zone,1332,94.6,13 Mar 2015,4.5,4.5,4.1,2017-04-30 01:20:51.028728
1404031,HANHENT HH Official Store,14103,98.4,14 Aug 2014,4.8,4.7,4.7,2017-04-30 01:20:52.026472
1114889,Fashionable Forefront Store,8026,96.7,11 Feb 2014,4.7,4.7,4.4,2017-04-30 01:20:53.116509
1846234,New Fashion Trend Store,8199,97.3,29 Jun 2015,4.7,4.7,4.6,2017-04-30 01:20:54.085095
1908258,THE COOLMIND Store,11561,97.9,24 Aug 2015,4.7,4.6,4.4,2017-04-30 01:20:55.024830
537154,Young Gao's store,7502,96.4,18 Sep 2013,4.6,4.6,4.3,2017-04-30 01:20:55.985790
2180093,YK UNCLE YK UNCLE Store,635,98.0,13 May 2016,4.7,4.6,4.5,2017-04-30 01:20:57.181080
1183883,Clothing no1,1823,95.2,20 Mar 2014,4.6,4.7,4.5,2017-04-30 01:20:58.116225
2809083,Ms Arya Store,615,97.8,07 Feb 2017,4.7,4.7,4.6,2017-04-30 01:20:59.110858
1702269,JWJ STORE,20644,98.6,01 Feb 2015,4.8,4.7,4.7,2017-04-30 01:21:00.116744
633893,Hip Top,19500,97.6,14 Aug 2013,4.7,4.6,4.4,2017-04-30 01:21:01.101843
1075230,Miss Charm,27162,96.7,13 Dec 2013,4.6,4.6,4.2,2017-04-30 01:21:03.071465
911997,Logeeyar Store,32846,97.1,17 May 2012,4.6,4.7,4.6,2017-04-30 01:21:04.042987
1627239,Guangzhou menswear,6034,98.0,20 Dec 2014,4.7,4.7,4.6,2017-04-30 01:21:05.064478
